"#id";"rule";"action";"description"
1;"ctx.featureStable";"processNoise";"initial noise"
2;"currentSegment == null";"initSegment";"Current not initialized. This first segment"
3;"ctx.featureInMin";"changePoint";"change point"
4;"ctx.featureInMax && lastLength < 20";"join";"too small last"
5;"ctx.featureInMax && distanceBetweenPaeks<180 && (lastLength+currentLength)<280";"join";"Found max. join as between peaks not enough space"
6;"ctx.featureInMax && isIncrease";"join";"Found max. join as increase"
7;"ctx.featureInMax && isDecrease";"join";"Found max. join as decrease"
8;"ctx.featureInMax && ""0"".equals(className)";"delete";"too small last"
9;"ctx.featureInMax";"changePointLastApproved";"Found max. approve previous change point"
10;"true";"processSignal";"Rule not match"
